left_ankleX	left_earX	left_elbowX	left_eyeX	left_hipX	left_kneeX	left_shoulderX	left_wristX	noseX	right_ankleX	right_earX	right_elbowX	right_eyeX	right_hipX	right_kneeX	right_shoulderX	right_wristX	left_ankleY	left_earY	left_elbowY	left_eyeY	left_hipY	left_kneeY	left_shoulderY	left_wristY	noseY	right_ankleY	right_earY	right_elbowY	right_eyeY	right_hipY	right_kneeY	right_shoulderY	right_wristY	label
1008.126183	979.8413994	880.927731	935.6925499	970.6119494	971.713459	978.7330211	767.0428191	923.0964281	1000.030169	974.8067949	913.4376061	934.1568336	974.8910479	965.5153196	990.0535852	813.1505072	996.9179553	277.4358724	430.6647941	270.8873813	572.9249628	774.5163286	339.9634665	484.8107749	287.7471984	972.9268332	275.5766752	476.327427	270.4084981	579.5874077	777.8328554	367.5215751	518.8351998	1
1006.053946	969.7222977	900.8165288	926.3653772	964.6117671	968.6629434	968.1620864	809.7652633	915.3354942	1000.523445	969.8332608	962.2730276	926.4561814	985.696076	968.7046135	995.6755147	896.3441805	1002.74296	278.0131447	466.1258747	276.7139469	576.0669825	777.3577986	350.8822437	554.6059066	295.4040088	975.8722151	274.8066906	486.7439234	275.6930892	580.2722042	777.8690725	356.5713369	574.5519675	1
1005.013797	958.2479596	906.8993747	915.8388877	955.3160584	966.3064313	950.0698185	825.8002532	908.7821245	1002.996283	960.9072089	969.1252613	920.1916623	983.229003	974.2190337	992.4438715	890.4864442	1000.051031	276.4067566	475.4218912	270.8873177	565.8534265	775.9774446	349.2142797	561.1616635	289.4665933	975.2080035	274.2948389	489.7949696	270.5528998	569.2908168	778.7504411	359.6851945	571.0854077	2
1006.538065	964.2808856	912.5124578	922.9284121	963.1814542	968.415307	967.8929982	825.9715648	910.5326646	1000.504772	965.08444	928.692338	923.7413083	981.3261868	968.6284065	983.5778218	839.2972911	1006.033243	275.7150859	468.8427962	274.8377092	572.4155343	777.9237729	353.9725664	564.324063	292.9965165	973.9015848	274.8098228	483.7885923	274.5255767	576.6814223	777.5785572	364.0072059	568.2595833	2
1006.82214	962.4659112	907.2716229	920.3583256	967.3865094	966.9897462	967.1026661	829.8779201	909.5613845	1000.57302	966.1702588	929.8147053	922.9358818	983.3288699	968.3922314	984.6127861	846.6123561	1001.327943	276.5933939	472.770504	273.1637523	576.9228942	776.6512555	351.220821	564.2030115	290.3940728	969.7930947	274.9998741	485.2418579	272.9852814	580.6434482	777.1005274	359.863702	561.3843969	2
1005.176203	937.89094	947.6233855	899.7933778	952.8378349	965.3212903	942.7628148	889.9816059	888.1857522	1002.986968	941.9204464	969.1483009	900.3466703	984.6236737	975.1349576	978.364837	954.9146106	999.4048099	279.4505178	477.4676506	274.4568238	589.5753641	783.501431	341.5217615	589.0100997	290.7942398	968.0825387	277.2616161	480.8057632	274.7598132	592.6665517	783.4474165	351.8536232	583.5096288	2
1007.960315	921.2156043	978.4134775	883.2040304	943.7452815	962.3868518	934.4636245	990.224318	874.5537302	1000.09506	923.0829861	980.3402855	883.6528419	951.2971756	962.0563596	943.5880161	988.4197544	999.621129	282.1712956	469.1404811	279.5734304	581.4513626	779.5866168	339.8252395	590.6023518	294.8478064	967.7244694	280.080658	470.9172913	279.8842945	583.5297138	780.3526349	346.4635331	585.303644	2
1007.662197	962.4775201	902.4151547	921.4317671	962.5761616	968.8365044	961.5578187	828.7087757	909.3061243	1005.602161	963.4254558	931.1573111	922.1645797	975.8646548	973.1630917	982.782727	836.6221982	1003.474879	278.0146933	475.2031002	277.4833335	581.0582833	784.2086065	350.4651797	570.9821925	296.3178521	976.5624162	277.2629536	491.8897827	277.1905659	583.8687036	781.9804751	357.5404172	567.658461	2
1005.699784	939.2654305	947.7067132	899.7376782	953.5716069	965.7410749	943.1619439	890.8401409	888.1014398	1002.400661	942.3451193	972.3090303	900.2160718	981.6835475	972.1517115	979.6197532	944.3854211	1003.562915	278.0346115	478.7961212	277.1689068	586.8233753	778.5837067	341.0304965	587.7992333	293.8313913	969.2823918	276.3166479	483.6157321	277.3202848	589.0201837	778.6760526	345.7893156	583.5888041	2
1008.55671	921.036204	980.4774649	883.3225436	943.8688462	962.2175846	935.5604154	988.7235826	874.1437153	1000.360496	922.754945	980.765862	883.540559	950.9675603	961.4323185	943.7783777	988.5273308	999.9405672	281.6443656	469.2146878	281.5085372	578.575021	779.5707341	339.5839993	590.4575012	296.7927958	970.4526209	278.9518052	470.9125388	281.4721701	580.4594989	780.1927958	346.1556565	585.5835896	2
1010.624336	915.3732603	985.4925285	873.7244378	947.7791794	968.6981206	930.5064369	1005.102406	862.2051355	1002.125554	915.4018558	986.837082	872.3388159	951.9622535	966.420242	938.2266806	1004.889871	1004.994617	284.0196742	464.7702331	283.9317137	569.9537015	784.078294	342.0502842	580.6073301	297.6737258	973.0667397	282.0339442	466.1891052	282.8012119	573.5400111	786.2970781	350.9379988	577.4826903	2
1009.057861	912.6311371	985.0730325	872.5378575	947.41539	966.0284578	930.9990844	1009.975148	863.0048017	1000.001786	912.495947	988.0019257	873.0587424	951.0314021	964.0215278	938.6137576	1008.831477	1002.536675	283.4381003	460.1984801	280.9509132	564.1252393	780.2807652	342.7469267	590.9651509	294.7786084	972.3187648	279.604458	463.36231	281.1196086	567.6709489	782.5661363	351.4895173	582.4308835	3
1009.541052	908.9898181	1003.599356	867.489066	941.0328908	966.9949976	921.3055827	1070.971406	858.8355709	1002.671307	910.8963101	1013.958141	868.4912404	952.2186248	962.8462821	938.0275839	1073.76023	1011.125641	283.516262	452.7589128	280.6809259	567.5276633	777.096707	349.9749976	547.0175322	297.2123591	975.6478513	281.8009619	458.9803958	281.4172374	571.5750295	781.7055178	368.1103088	553.363597	3
1007.576079	904.7236801	1017.3716	864.6288744	943.6348636	966.6106299	921.8757776	1115.238988	857.9246257	1003.0036	908.9017976	1035.076	866.632039	954.9911771	961.2552936	945.7936975	1124.81326	997.1760652	281.20915	423.4908887	281.6504966	580.5919421	775.5571104	338.1965888	505.0814916	297.875487	972.6432914	280.7022866	440.6293907	282.9791893	585.010992	781.7618612	363.2766811	518.2215503	3
1009.099764	911.2227989	991.8947932	870.6771043	947.4246251	967.8879301	924.3685593	1040.915425	859.7144639	1002.710944	911.5130046	997.915346	869.9444758	953.0788785	968.4682819	936.0706589	1046.477328	1004.620561	285.6819059	460.3090024	284.2101165	576.5989216	783.6834331	339.0839159	568.8184021	299.6192368	974.4641652	281.5253484	463.1847204	283.9226998	580.1713541	785.8951889	352.398866	573.9769583	3
1008.810845	905.326489	1026.855277	864.3400344	945.2260334	968.152511	927.7131469	1118.245601	858.4040242	1003.623829	911.6743685	1040.975893	867.3465373	954.7791558	963.6254473	947.4699133	1125.214737	1008.853375	280.5213146	440.7382086	282.0188013	587.2930676	778.8383567	343.1044405	515.4842857	297.8089188	974.3473135	279.1664262	445.2736381	282.9340156	590.2028318	784.2080808	356.6907425	526.6803829	3
1009.644847	913.0388864	991.7184329	872.0897168	943.4111203	968.6904124	926.8429785	1021.080906	861.1157722	1003.455889	914.1351436	992.7169723	871.9863729	949.9234081	965.5546558	937.7163772	1024.03657	1003.837741	285.4421319	461.2817246	282.9071687	581.3280883	791.7382329	340.9348663	574.3353945	298.8265757	976.4795678	280.9509612	465.2953774	282.6887325	585.1460347	792.943821	348.6015968	573.6242624	3
1012.321573	905.7321571	1008.269875	865.6434191	939.4540309	965.9329377	923.2154695	1094.839756	857.6219712	1001.40792	908.0719315	1018.592319	866.6466266	950.6425603	960.1559284	940.1125372	1101.373255	994.0357492	284.4784897	442.6932435	284.515914	589.0524481	779.5210723	340.059859	521.4181189	299.9137361	973.9233455	281.0391942	456.7038222	284.1402114	592.7543308	784.3287184	361.1813065	535.248134	3
1007.03186	918.6811033	1036.467919	879.9688338	958.5193881	973.1823808	943.8217348	1027.895582	870.7127862	1000.499996	925.1731288	1058.551709	879.6489382	983.7331786	974.28269	983.703513	1140.434867	1004.033893	277.6840734	420.0839499	285.0300828	580.623228	770.3363255	329.172841	550.056585	299.1144126	972.945208	274.9372141	430.8577884	284.0685381	586.3900594	777.1063675	349.3274811	516.2916563	4
1007.072577	912.7286161	1035.063326	874.9541151	957.582751	968.0184921	938.2538893	1113.068498	870.8926527	1000.405236	924.3204038	1062.226658	878.5038705	983.2327059	968.7387851	982.1995942	1130.243679	1000.734627	280.9898368	404.8780692	287.44296	584.7291277	770.5891233	335.5568899	511.511885	305.3377258	969.9285398	279.59176	446.6669909	288.3571723	592.1369698	779.3260003	357.6395316	529.6287439	4
1004.398636	916.5478491	1032.237783	878.5452221	962.193256	970.3667734	941.5068752	1161.079894	873.4834892	997.9276516	926.553429	1067.635928	881.4167725	978.8096935	972.0546481	970.7484765	1120.89267	1000.499743	273.3466496	398.3463886	279.840109	572.5320553	770.6074416	316.9010086	445.4914489	296.342739	971.3064899	274.0941565	444.7950683	281.4512649	584.6711652	778.3742543	351.969463	524.961081	4
1003.632596	903.9878953	1026.544027	866.9763965	950.2592778	967.9431976	926.047428	1128.909479	861.2938604	1000.489945	911.0946791	1048.947072	869.4593968	964.6040827	965.3661208	955.5752647	1130.134823	1001.200268	280.776084	424.5448489	285.8149757	584.4402417	768.5543502	333.5176979	494.3507843	301.318482	972.0496108	278.1646771	442.6160966	286.3328936	590.0670064	774.086677	351.819168	519.8185137	4
1008.762077	917.0859243	1032.058044	874.5738901	955.3916254	973.516738	940.7927788	1158.13955	869.9579742	998.7927594	927.6504862	1053.450831	880.1155931	980.8479403	973.7565558	978.0149099	1128.298269	1004.525816	275.5581493	394.8109853	286.1052868	579.2351751	774.3164312	324.084256	435.4652763	302.6851668	976.9442097	276.7907379	446.5566308	287.4028273	592.2151769	781.7983576	358.8719658	515.5331581	4
1006.374414	922.0790897	1037.47129	881.9901687	960.2528812	971.8989705	946.1527675	1117.844305	876.7020987	1000.333633	926.8847639	1059.720991	881.2487095	977.6079399	977.0107506	975.5670343	1132.348321	1002.138039	276.2879936	416.7730531	285.8093566	581.7091336	772.8472691	327.5862591	509.2575256	304.4836423	973.7078058	275.1243932	423.9908263	285.3758737	586.587227	777.5855814	345.4585467	509.2888275	4
